code,label,network,type,lat,lng,latoffset,lonoffset,html
WAB,Wandsworth - Tooting High Street,LAQN,Roadside,51.429331,-0.166524,0,0,publicdetails.asp?site=WAB&Maptype=Google&mapview=all
LB6,Lambeth - Streatham Green,LAQN,Urban Background,51.4282131429499,-0.13186863879576,0,0,publicdetails.asp?site=LB6&Maptype=Google&mapview=all
TD5,London Teddington Bushy Park,AURN,Suburban,51.4252560360937,-0.345608290872898,0,0,publicdetails.asp?site=TD5&Maptype=Google&mapview=all
ME2,Merton - Merton Road,LAQN,Roadside,51.4161384794862,-0.192230805042824,0,0,publicdetails.asp?site=ME2&Maptype=Google&mapview=all
CR5,Croydon - Norbury,LAQN,Kerbside,51.411349,-0.12311,0,0,publicdetails.asp?site=CR5&Maptype=Google&mapview=all
CR8,Croydon - Norbury Manor,LAQN,Urban Background,51.410039,-0.127523,0,0,publicdetails.asp?site=CR8&Maptype=Google&mapview=all
MEA,Merton - Mitcham,LAQN,Roadside,51.4055473441872,-0.164596893540707,0,0,publicdetails.asp?site=MEA&Maptype=Google&mapview=all
ME9,Merton - Morden Civic Centre 2,LAQN,Roadside,51.40162,-0.19589212,0,0,publicdetails.asp?site=ME9&Maptype=Google&mapview=all
CR9,Croydon - Park Lane,LAQN,Roadside,51.3739530635378,-9.67638468323854E-02,0,0,publicdetails.asp?site=CR9&Maptype=Google&mapview=all
CR7,Croydon - Purley Way A23,LAQN,Roadside,51.3622305655403,-0.117604507351392,0,0,publicdetails.asp?site=CR7&Maptype=Google&mapview=all
RG1,Reigate and Banstead - Horley,mixed,Suburban,51.1658750886143,-0.167703256282678,0,0,publicdetails.asp?site=RG1&Maptype=Google&mapview=all
RGS,RG1 Horley SMPS,other,Suburban,51.1658319616611,-0.167763764582061,0,0,publicdetails.asp?site=RGS&Maptype=Google&mapview=all
